utc,lat,lon,dep
2010-03-09T20:25:58.610000Z,60.5561,-141.5294,24.37
2010-03-10T13:06:47.780000Z,60.5553,-143.4514,65.77
2010-03-11T10:58:06.290000Z,60.1892,-141.7586,13.38
2010-03-11T11:55:37.110000Z,59.6935,-141.6434,19.06
2010-03-11T12:20:14.580000Z,60.3115,-142.3955,12.44
2010-03-11T19:58:21.580000Z,60.4958,-141.2348,13.87
2010-03-12T01:06:46.950000Z,60.1446,-140.8134,13.71
2010-03-12T03:14:00.030000Z,59.8685,-141.2928,14.46
2010-03-12T11:52:50.690000Z,60.2264,-141.0181,13.68
2010-03-13T01:58:11.090000Z,60.1601,-140.7413,8.69
2010-03-13T02:47:19.770000Z,59.9816,-142.0144,14.68
2010-03-13T03:23:53.100000Z,60.1706,-140.3317,15.0
2010-03-13T05:42:28.660000Z,60.9014,-143.3032,15.0
2010-03-13T07:19:10.840000Z,60.1924,-141.5686,12.83
2010-03-13T07:48:35.730000Z,60.3286,-142.018,12.98
2010-03-15T05:12:14.070000Z,60.3169,-140.3711,10.91
2010-03-15T11:58:41.800000Z,60.2074,-140.9305,15.15
2010-03-15T19:01:03.200000Z,59.8846,-141.1203,15.84
2010-03-15T21:18:45.940000Z,59.8718,-141.0052,16.88
2010-03-15T23:52:31.450000Z,60.2175,-140.6182,15.0
2010-03-16T00:32:35.480000Z,59.893,-141.0946,13.23
2010-03-16T02:01:20.420000Z,59.8087,-141.5502,16.46
2010-03-16T05:10:12.710000Z,60.5057,-142.9256,15.3
2010-03-16T07:57:24.220000Z,59.7888,-141.5698,21.5
2010-03-16T11:56:28.900000Z,60.4215,-142.6627,50.92
2010-03-17T01:26:49.970000Z,59.876,-141.097,15.05
2010-03-17T10:22:24.270000Z,60.3771,-141.4437,29.16
2010-03-17T15:21:21.300000Z,60.5448,-143.0955,11.63
2010-03-17T19:41:02.070000Z,59.845,-141.1755,13.43
2010-03-17T22:38:45.410000Z,60.5621,-142.2788,44.36
2010-03-17T23:31:00.490000Z,60.5378,-141.9237,14.42
2010-03-17T23:43:22.270000Z,60.7194,-143.8999,21.44
2010-03-18T00:46:01.040000Z,60.8,-143.0083,15.42
2010-03-18T04:00:15.640000Z,59.8353,-141.7708,13.75
2010-03-18T04:27:34.500000Z,61.4707,-141.9504,12.13
2010-03-18T07:27:00.140000Z,59.9388,-140.4149,20.48
2010-03-18T11:24:25.870000Z,60.9762,-143.22,49.91
2010-03-19T14:33:30.050000Z,59.8139,-141.8378,20.94
2010-03-19T14:36:43.820000Z,59.8415,-141.8554,18.81
2010-03-20T04:06:29.890000Z,61.6952,-142.5302,15.0
2010-03-20T09:43:58.700000Z,60.4191,-140.4819,15.0
2010-03-20T12:15:50.940000Z,60.1607,-140.9198,24.82
2010-03-20T12:53:10.920000Z,61.199,-140.5779,9.51
2010-03-20T13:49:03.300000Z,60.3315,-141.1969,30.76
2010-03-20T13:51:03.700000Z,60.4448,-140.4037,15.0
2010-03-20T17:24:52.230000Z,60.6018,-143.607,23.15
2010-03-21T06:11:11.240000Z,60.495,-142.8332,26.57
2010-03-21T08:14:37.340000Z,59.8751,-141.4663,12.28
2010-03-21T10:08:08.300000Z,60.1969,-140.4545,9.29
2010-03-22T06:44:35.460000Z,60.3179,-142.0009,11.93
2010-03-22T06:57:21.700000Z,61.1611,-142.6704,24.78
2010-03-22T09:38:08.190000Z,60.3866,-140.4471,7.16
2010-03-22T13:30:28.600000Z,61.0906,-143.5619,17.4
2010-03-22T15:14:37.840000Z,60.0929,-140.9014,9.78
2010-03-22T20:09:57.290000Z,60.8517,-142.6709,15.0
2010-03-23T04:28:13.630000Z,60.8027,-142.8208,18.58
2010-03-23T16:43:25.720000Z,61.0666,-143.2694,15.0
2010-03-24T02:53:37.240000Z,60.1862,-141.4299,11.83
2010-03-24T06:29:12.130000Z,60.1901,-141.6958,12.02
2010-03-24T10:22:50.240000Z,60.4599,-141.892,42.43
2010-03-24T11:05:53.490000Z,60.283,-141.2869,12.48
2010-03-24T18:00:18.000000Z,60.3536,-141.9715,12.93
2010-03-25T09:04:47.150000Z,61.5493,-140.8555,19.76
2010-03-25T09:33:30.710000Z,60.5464,-142.479,29.79
2010-03-25T11:56:10.330000Z,60.1635,-140.8062,19.27
2010-03-25T17:35:53.370000Z,60.3332,-140.9782,11.09
2010-03-25T18:03:58.580000Z,59.8485,-141.1171,12.97
2010-03-25T20:15:03.440000Z,60.304,-141.7654,14.31
2010-03-25T22:15:24.790000Z,60.1403,-141.2861,1.66
2010-03-26T03:23:57.010000Z,60.6588,-142.523,28.58
2010-03-26T06:39:57.910000Z,60.229,-141.0065,10.41
2010-03-26T09:27:53.170000Z,60.0812,-141.1579,14.31
2010-03-26T09:38:58.860000Z,61.076,-143.8258,27.69
2010-03-26T15:45:00.950000Z,60.2081,-141.3229,0.02
2010-03-26T19:28:13.350000Z,61.13,-143.1836,13.89
2010-03-27T00:24:24.050000Z,60.0447,-140.453,0.03
2010-03-27T02:33:02.150000Z,60.0345,-140.8718,17.43
2010-03-27T19:08:09.280000Z,61.4736,-140.4449,8.13
2010-03-29T12:41:25.090000Z,60.1246,-141.028,19.63
2010-03-29T12:41:23.690000Z,60.1054,-140.7996,10.26
2010-03-29T19:04:28.920000Z,60.993,-142.9207,13.52
2010-03-30T14:47:55.460000Z,60.4827,-141.7585,12.88
2010-03-30T17:18:37.740000Z,61.0985,-143.8495,15.5
2010-03-30T19:49:59.800000Z,60.1528,-141.4698,20.74
2010-03-30T21:25:14.960000Z,59.9641,-140.016,27.38
2010-03-30T21:31:59.770000Z,60.3239,-141.3512,23.99
2010-03-30T23:35:02.950000Z,60.1147,-140.7891,14.12
2010-03-30T23:35:03.210000Z,60.1444,-140.7124,16.05
2010-03-31T03:05:28.520000Z,59.9554,-142.0179,27.75
2010-03-31T16:28:44.300000Z,60.3777,-141.4794,19.1
2010-03-31T17:58:47.930000Z,60.1058,-143.0898,12.69
2010-03-31T19:42:07.970000Z,61.3221,-140.4807,8.18
2010-04-01T15:55:28.460000Z,60.7487,-142.3467,0.19
2010-04-02T06:37:27.540000Z,60.3787,-140.5735,17.99
2010-04-02T08:16:27.680000Z,60.6002,-142.6184,13.39
2010-04-02T12:57:47.060000Z,60.6371,-141.7422,20.17
2010-04-02T13:23:26.260000Z,60.5316,-143.0818,13.85
2010-04-02T23:23:39.840000Z,60.3039,-141.1414,13.0
2010-04-03T07:29:20.920000Z,60.288,-141.7193,10.14
2010-04-03T08:32:51.470000Z,60.2724,-143.0467,9.87
2010-04-03T10:48:50.460000Z,60.1607,-141.201,4.64
2010-04-03T12:48:59.140000Z,60.2177,-141.0934,27.18
2010-04-03T13:09:24.080000Z,61.0967,-143.9448,26.24
